in:wysokość*5,in:ilość wcięć w piętrach (ilość szprosów*3),in:skręcenie szprosów (*5 stopni),in:R okręgu 1 *3,in:R okręgu 5 *3,img
32,6,0,7,5,wysokość532_ilośćwcięćwpiętrach(ilośćszprosów3)6_skręcenieszprosów(5stopni)0_Rokręgu137_Rokręgu535_Perspective.png
32,7,0,7,5,wysokość532_ilośćwcięćwpiętrach(ilośćszprosów3)7_skręcenieszprosów(5stopni)0_Rokręgu137_Rokręgu535_Perspective.png
32,5,0,7,5,wysokość532_ilośćwcięćwpiętrach(ilośćszprosów3)5_skręcenieszprosów(5stopni)0_Rokręgu137_Rokręgu535_Perspective.png
33,4,0,7,5,wysokość533_ilośćwcięćwpiętrach(ilośćszprosów3)4_skręcenieszprosów(5stopni)0_Rokręgu137_Rokręgu535_Perspective.png
34,4,0,7,5,wysokość534_ilośćwcięćwpiętrach(ilośćszprosów3)4_skręcenieszprosów(5stopni)0_Rokręgu137_Rokręgu535_Perspective.png
35,4,0,7,5,wysokość535_ilośćwcięćwpiętrach(ilośćszprosów3)4_skręcenieszprosów(5stopni)0_Rokręgu137_Rokręgu535_Perspective.png
33,5,0,7,5,wysokość533_ilośćwcięćwpiętrach(ilośćszprosów3)5_skręcenieszprosów(5stopni)0_Rokręgu137_Rokręgu535_Perspective.png
34,5,0,7,5,wysokość534_ilośćwcięćwpiętrach(ilośćszprosów3)5_skręcenieszprosów(5stopni)0_Rokręgu137_Rokręgu535_Perspective.png
35,5,0,7,5,wysokość535_ilośćwcięćwpiętrach(ilośćszprosów3)5_skręcenieszprosów(5stopni)0_Rokręgu137_Rokręgu535_Perspective.png
33,6,0,7,5,wysokość533_ilośćwcięćwpiętrach(ilośćszprosów3)6_skręcenieszprosów(5stopni)0_Rokręgu137_Rokręgu535_Perspective.png
34,6,0,7,5,wysokość534_ilośćwcięćwpiętrach(ilośćszprosów3)6_skręcenieszprosów(5stopni)0_Rokręgu137_Rokręgu535_Perspective.png
35,6,0,7,5,wysokość535_ilośćwcięćwpiętrach(ilośćszprosów3)6_skręcenieszprosów(5stopni)0_Rokręgu137_Rokręgu535_Perspective.png
33,7,0,7,5,wysokość533_ilośćwcięćwpiętrach(ilośćszprosów3)7_skręcenieszprosów(5stopni)0_Rokręgu137_Rokręgu535_Perspective.png
34,7,0,7,5,wysokość534_ilośćwcięćwpiętrach(ilośćszprosów3)7_skręcenieszprosów(5stopni)0_Rokręgu137_Rokręgu535_Perspective.png
35,7,0,7,5,wysokość535_ilośćwcięćwpiętrach(ilośćszprosów3)7_skręcenieszprosów(5stopni)0_Rokręgu137_Rokręgu535_Perspective.png
32,4,1,7,5,wysokość532_ilośćwcięćwpiętrach(ilośćszprosów3)4_skręcenieszprosów(5stopni)1_Rokręgu137_Rokręgu535_Perspective.png
33,4,1,7,5,wysokość533_ilośćwcięćwpiętrach(ilośćszprosów3)4_skręcenieszprosów(5stopni)1_Rokręgu137_Rokręgu535_Perspective.png
34,4,1,7,5,wysokość534_ilośćwcięćwpiętrach(ilośćszprosów3)4_skręcenieszprosów(5stopni)1_Rokręgu137_Rokręgu535_Perspective.png
35,4,1,7,5,wysokość535_ilośćwcięćwpiętrach(ilośćszprosów3)4_skręcenieszprosów(5stopni)1_Rokręgu137_Rokręgu535_Perspective.png
32,5,1,7,5,wysokość532_ilośćwcięćwpiętrach(ilośćszprosów3)5_skręcenieszprosów(5stopni)1_Rokręgu137_Rokręgu535_Perspective.png
33,5,1,7,5,wysokość533_ilośćwcięćwpiętrach(ilośćszprosów3)5_skręcenieszprosów(5stopni)1_Rokręgu137_Rokręgu535_Perspective.png
34,5,1,7,5,wysokość534_ilośćwcięćwpiętrach(ilośćszprosów3)5_skręcenieszprosów(5stopni)1_Rokręgu137_Rokręgu535_Perspective.png
35,5,1,7,5,wysokość535_ilośćwcięćwpiętrach(ilośćszprosów3)5_skręcenieszprosów(5stopni)1_Rokręgu137_Rokręgu535_Perspective.png
